date,home_team,away_team,team,scorer,minute,own_goal,penalty
2020-09-03,Bulgaria,Republic of Ireland,Bulgaria,Bozhidar Kraev,56,FALSE,FALSE
2020-09-03,Bulgaria,Republic of Ireland,Republic of Ireland,Shane Duffy,90,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Faroe Islands,Klæmint Olsen,25,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Malta,Jurgen Degabriele,37,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Malta,Andrei Agius,73,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Faroe Islands,Andreas Olsen,87,FALSE,FALSE
2020-09-03,Faroe Islands,Malta,Faroe Islands,Brandur Hendriksson,90,FALSE,FALSE
2020-09-03,Finland,Wales,Wales,Kieffer Moore,80,FALSE,FALSE
2020-09-03,Germany,Spain,Germany,Timo Werner,51,FALSE,FALSE
2020-09-03,Germany,Spain,Spain,José Gayà,90,FALSE,FALSE
2020-09-03,Moldova,Kosovo,Moldova,Ion Nicolaescu,20,FALSE,FALSE
2020-09-03,Moldova,Kosovo,Kosovo,Benjamin Kololli,71,FALSE,FALSE
2020-09-03,Russia,Serbia,Russia,Artem Dzyuba,48,FALSE,TRUE
2020-09-03,Russia,Serbia,Russia,Vyacheslav Karavayev,69,FALSE,FALSE
2020-09-03,Russia,Serbia,Serbia,Aleksandar Mitrović,78,FALSE,FALSE
2020-09-03,Russia,Serbia,Russia,Artem Dzyuba,81,FALSE,FALSE
2020-09-03,Turkey,Hungary,Hungary,Dominik Szoboszlai,80,FALSE,FALSE
2020-09-03,Ukraine,Switzerland,Ukraine,Andriy Yarmolenko,14,FALSE,FALSE
2020-09-03,Ukraine,Switzerland,Switzerland,Haris Seferovic,41,FALSE,FALSE
2020-09-03,Ukraine,Switzerland,Ukraine,Oleksandr Zinchenko,68,FALSE,FALSE
2020-09-04,Belarus,Albania,Albania,Sokol Çikalleshi,23,FALSE,FALSE
2020-09-04,Belarus,Albania,Albania,Keidi Bare,78,FALSE,FALSE
2020-09-04,Italy,Bosnia and Herzegovina,Bosnia and Herzegovina,Edin Džeko,57,FALSE,FALSE
2020-09-04,Italy,Bosnia and Herzegovina,Italy,Stefano Sensi,67,FALSE,FALSE
2020-09-04,Lithuania,Kazakhstan,Kazakhstan,Bakhtiyar Zaynutdinov,3,FALSE,FALSE
2020-09-04,Lithuania,Kazakhstan,Kazakhstan,Islambek Kuat,86,FALSE,FALSE
2020-09-04,Netherlands,Poland,Netherlands,Steven Bergwijn,61,FALSE,FALSE
2020-09-04,Norway,Austria,Austria,Michael Gregoritsch,35,FALSE,FALSE
2020-09-04,Norway,Austria,Austria,Marcel Sabitzer,54,FALSE,TRUE
2020-09-04,Norway,Austria,Norway,Erling Haaland,66,FALSE,FALSE
2020-09-04,Romania,Northern Ireland,Romania,George Pușcaș,25,FALSE,FALSE
2020-09-04,Romania,Northern Ireland,Northern Ireland,Gavin Whyte,86,FALSE,FALSE
2020-09-04,Scotland,Israel,Scotland,Ryan Christie,45,FALSE,TRUE
2020-09-04,Scotland,Israel,Israel,Eran Zahavi,73,FALSE,FALSE
2020-09-04,Slovakia,Czech Republic,Czech Republic,Vladimír Coufal,48,FALSE,FALSE
2020-09-04,Slovakia,Czech Republic,Czech Republic,Bořek Dočkal,53,FALSE,TRUE
2020-09-04,Slovakia,Czech Republic,Czech Republic,Michael Krmenčík,86,FALSE,FALSE
2020-09-04,Slovakia,Czech Republic,Slovakia,Ivan Schranz,88,FALSE,FALSE
2020-09-05,Azerbaijan,Luxembourg,Azerbaijan,Ramil Sheydayev,43,FALSE,FALSE
2020-09-05,Azerbaijan,Luxembourg,Luxembourg,Anton Kryvotsyuk,48,TRUE,FALSE
2020-09-05,Azerbaijan,Luxembourg,Luxembourg,Gerson Rodrigues,72,FALSE,TRUE
2020-09-05,Cyprus,Montenegro,Montenegro,Stevan Jovetić,60,FALSE,FALSE
2020-09-05,Cyprus,Montenegro,Montenegro,Stevan Jovetić,73,FALSE,FALSE
2020-09-05,Denmark,Belgium,Belgium,Jason Denayer,9,FALSE,FALSE
2020-09-05,Denmark,Belgium,Belgium,Dries Mertens,76,FALSE,FALSE
2020-09-05,Estonia,Georgia,Georgia,Nika Kacharava,32,FALSE,FALSE
2020-09-05,Gibraltar,San Marino,Gibraltar,Graeme Torrilla,42,FALSE,FALSE
2020-09-05,Iceland,England,England,Raheem Sterling,90,FALSE,TRUE
2020-09-05,North Macedonia,Armenia,North Macedonia,Ezgjan Alioski,5,FALSE,TRUE
2020-09-05,North Macedonia,Armenia,North Macedonia,Ilija Nestorovski,38,FALSE,TRUE
2020-09-05,North Macedonia,Armenia,Armenia,Tigran Barseghyan,90,FALSE,TRUE
2020-09-05,Portugal,Croatia,Portugal,João Cancelo,41,FALSE,FALSE
2020-09-05,Portugal,Croatia,Portugal,Diogo Jota,58,FALSE,FALSE
2020-09-05,Portugal,Croatia,Portugal,João Félix,70,FALSE,FALSE
2020-09-05,Portugal,Croatia,Portugal,André Silva,90,FALSE,FALSE
2020-09-05,Portugal,Croatia,Croatia,Bruno Petković,90,FALSE,FALSE
2020-09-05,Sweden,France,France,Kylian Mbappé,41,FALSE,FALSE
2020-09-06,Andorra,Faroe Islands,Faroe Islands,Klæmint Olsen,31,FALSE,FALSE
2020-09-06,Hungary,Russia,Russia,Anton Miranchuk,15,FALSE,FALSE
2020-09-06,Hungary,Russia,Russia,Magomed Ozdoyev,34,FALSE,FALSE
2020-09-06,Hungary,Russia,Russia,Mário Fernandes,46,FALSE,FALSE
2020-09-06,Hungary,Russia,Hungary,Roland Sallai,62,FALSE,FALSE
2020-09-06,Hungary,Russia,Hungary,Nemanja Nikolić,70,FALSE,FALSE
2020-09-06,Kosovo,Greece,Greece,Dimitrios Limnios,2,FALSE,FALSE
2020-09-06,Kosovo,Greece,Greece,Dimitris Siovas,51,FALSE,FALSE
2020-09-06,Kosovo,Greece,Kosovo,Bernard Berisha,82,FALSE,FALSE
2020-09-06,Malta,Latvia,Malta,Kyrian Nwoko,15,FALSE,FALSE
2020-09-06,Malta,Latvia,Latvia,Matthew Guillaumier,25,TRUE,FALSE
2020-09-06,Republic of Ireland,Finland,Finland,Fredrik Jensen,64,FALSE,FALSE
2020-09-06,Slovenia,Moldova,Slovenia,Damjan Bohar,28,FALSE,FALSE
2020-09-06,Spain,Ukraine,Spain,Sergio Ramos,3,FALSE,TRUE
2020-09-06,Spain,Ukraine,Spain,Sergio Ramos,29,FALSE,FALSE
2020-09-06,Spain,Ukraine,Spain,Ansu Fati,32,FALSE,FALSE
2020-09-06,Spain,Ukraine,Spain,Ferran Torres,84,FALSE,FALSE
2020-09-06,Switzerland,Germany,Germany,İlkay Gündoğan,14,FALSE,FALSE
2020-09-06,Switzerland,Germany,Switzerland,Silvan Widmer,58,FALSE,FALSE
2020-09-06,Wales,Bulgaria,Wales,Neco Williams,90,FALSE,FALSE
2020-09-07,Albania,Lithuania,Lithuania,Donatas Kazlauskas,51,FALSE,FALSE
2020-09-07,Austria,Romania,Romania,Denis Alibec,3,FALSE,FALSE
2020-09-07,Austria,Romania,Austria,Christoph Baumgartner,17,FALSE,FALSE
2020-09-07,Austria,Romania,Romania,Dragoș Grigore,51,FALSE,FALSE
2020-09-07,Austria,Romania,Romania,Alexandru Maxim,70,FALSE,FALSE
2020-09-07,Austria,Romania,Austria,Karim Onisiwo,81,FALSE,FALSE
2020-09-07,Bosnia and Herzegovina,Poland,Bosnia and Herzegovina,Haris Hajradinović,24,FALSE,TRUE
2020-09-07,Bosnia and Herzegovina,Poland,Poland,Kamil Glik,45,FALSE,FALSE
2020-09-07,Bosnia and Herzegovina,Poland,Poland,Kamil Grosicki,67,FALSE,FALSE
2020-09-07,Czech Republic,Scotland,Czech Republic,Jakub Pešek,12,FALSE,FALSE
2020-09-07,Czech Republic,Scotland,Scotland,Lyndon Dykes,27,FALSE,FALSE
2020-09-07,Czech Republic,Scotland,Scotland,Ryan Christie,52,FALSE,TRUE
2020-09-07,Israel,Slovakia,Slovakia,Michal Ďuriš,14,FALSE,FALSE
2020-09-07,Israel,Slovakia,Israel,Ilay Elmkies,90,FALSE,FALSE
2020-09-07,Kazakhstan,Belarus,Belarus,Maksim Bordachyov,53,FALSE,FALSE
2020-09-07,Kazakhstan,Belarus,Kazakhstan,Abat Aymbetov,62,FALSE,FALSE
2020-09-07,Kazakhstan,Belarus,Belarus,Vitaly Lisakovich,86,FALSE,FALSE
2020-09-07,Netherlands,Italy,Italy,Nicolò Barella,45,FALSE,FALSE
2020-09-07,Northern Ireland,Norway,Norway,Mohamed Elyounoussi,2,FALSE,FALSE
2020-09-07,Northern Ireland,Norway,Northern Ireland,Paddy McNair,6,FALSE,FALSE
2020-09-07,Northern Ireland,Norway,Norway,Erling Haaland,7,FALSE,FALSE
2020-09-07,Northern Ireland,Norway,Norway,Alexander Sørloth,19,FALSE,FALSE
2020-09-07,Northern Ireland,Norway,Norway,Alexander Sørloth,47,FALSE,FALSE
2020-09-07,Northern Ireland,Norway,Norway,Erling Haaland,58,FALSE,FALSE
2020-09-08,Armenia,Estonia,Armenia,Aleksandre Karapetian,43,FALSE,FALSE
2020-09-08,Armenia,Estonia,Armenia,Wbeimar Angulo Mosquera,65,FALSE,FALSE
2020-09-08,Belgium,Iceland,Iceland,Hólmbert Friðjónsson,11,FALSE,FALSE
2020-09-08,Belgium,Iceland,Belgium,Axel Witsel,13,FALSE,FALSE
2020-09-08,Belgium,Iceland,Belgium,Michy Batshuayi,17,FALSE,FALSE
2020-09-08,Belgium,Iceland,Belgium,Dries Mertens,50,FALSE,FALSE
2020-09-08,Belgium,Iceland,Belgium,Michy Batshuayi,69,FALSE,FALSE
2020-09-08,Belgium,Iceland,Belgium,Jérémy Doku,80,FALSE,FALSE
2020-09-08,Cyprus,Azerbaijan,Azerbaijan,Maksim Medvedev,29,FALSE,FALSE
2020-09-08,France,Croatia,Croatia,Dejan Lovren,17,FALSE,FALSE
2020-09-08,France,Croatia,France,Antoine Griezmann,43,FALSE,FALSE
2020-09-08,France,Croatia,France,Dominik Livaković,45,TRUE,FALSE
2020-09-08,France,Croatia,Croatia,Josip Brekalo,55,FALSE,FALSE
2020-09-08,France,Croatia,France,Dayot Upamecano,65,FALSE,FALSE
2020-09-08,France,Croatia,France,Olivier Giroud,77,FALSE,TRUE
2020-09-08,Georgia,North Macedonia,Georgia,Tornike Okriashvili,13,FALSE,TRUE
2020-09-08,Georgia,North Macedonia,North Macedonia,Stefan Ristovski,33,FALSE,FALSE
2020-09-08,Luxembourg,Montenegro,Montenegro,Fatos Bećiraj,90,FALSE,TRUE
2020-09-08,San Marino,Liechtenstein,Liechtenstein,Nicolas Hasler,3,FALSE,TRUE
2020-09-08,San Marino,Liechtenstein,Liechtenstein,Yanik Frick,14,FALSE,FALSE
2020-09-08,Sweden,Portugal,Portugal,Cristiano Ronaldo,45,FALSE,FALSE
2020-09-08,Sweden,Portugal,Portugal,Cristiano Ronaldo,72,FALSE,FALSE
2020-10-08,Argentina,Ecuador,Argentina,Lionel Messi,13,FALSE,TRUE
2020-10-08,Bosnia and Herzegovina,Northern Ireland,Bosnia and Herzegovina,Rade Krunić,14,FALSE,FALSE
2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Niall McGinn,53,FALSE,FALSE
2020-10-08,Bulgaria,Hungary,Hungary,Willi Orbán,17,FALSE,FALSE
2020-10-08,Bulgaria,Hungary,Hungary,Zsolt Kalmár,47,FALSE,FALSE
2020-10-08,Bulgaria,Hungary,Hungary,Nemanja Nikolić,75,FALSE,FALSE
2020-10-08,Bulgaria,Hungary,Bulgaria,Georgi Yomov,89,FALSE,FALSE
2020-10-08,Georgia,Belarus,Georgia,Tornike Okriashvili,7,FALSE,TRUE
2020-10-08,Iceland,Romania,Iceland,Gylfi Sigurðsson,16,FALSE,FALSE
2020-10-08,Iceland,Romania,Iceland,Gylfi Sigurðsson,34,FALSE,FALSE
2020-10-08,Iceland,Romania,Romania,Alexandru Maxim,63,FALSE,TRUE
2020-10-08,North Macedonia,Kosovo,North Macedonia,Benjamin Kololli,16,TRUE,FALSE
2020-10-08,North Macedonia,Kosovo,Kosovo,Florent Hadergjonaj,29,FALSE,FALSE
2020-10-08,North Macedonia,Kosovo,North Macedonia,Darko Velkovski,33,FALSE,FALSE
2020-10-08,Norway,Serbia,Serbia,Sergej Milinković-Savić,82,FALSE,FALSE
2020-10-08,Norway,Serbia,Norway,Mathias Normann,88,FALSE,FALSE
2020-10-08,Norway,Serbia,Serbia,Sergej Milinković-Savić,102,FALSE,FALSE
2020-10-08,Paraguay,Peru,Peru,André Carrillo,52,FALSE,FALSE
2020-10-08,Paraguay,Peru,Paraguay,Ángel Romero,66,FALSE,FALSE
2020-10-08,Paraguay,Peru,Paraguay,Ángel Romero,81,FALSE,FALSE
2020-10-08,Paraguay,Peru,Peru,André Carrillo,85,FALSE,FALSE
2020-10-08,Uruguay,Chile,Uruguay,Luis Suárez,39,FALSE,TRUE
2020-10-08,Uruguay,Chile,Chile,Alexis Sánchez,54,FALSE,FALSE
2020-10-08,Uruguay,Chile,Uruguay,Maxi Gómez,90,FALSE,FALSE
2020-10-09,Brazil,Bolivia,Brazil,Marquinhos,16,FALSE,FALSE
2020-10-09,Brazil,Bolivia,Brazil,Roberto Firmino,30,FALSE,FALSE
2020-10-09,Brazil,Bolivia,Brazil,Roberto Firmino,49,FALSE,FALSE
2020-10-09,Brazil,Bolivia,Brazil,José María Carrasco,66,TRUE,FALSE
2020-10-09,Brazil,Bolivia,Brazil,Philippe Coutinho,73,FALSE,FALSE
2020-10-09,Colombia,Venezuela,Colombia,Duván Zapata,16,FALSE,FALSE
2020-10-09,Colombia,Venezuela,Colombia,Luis Muriel,26,FALSE,FALSE
2020-10-09,Colombia,Venezuela,Colombia,Luis Muriel,45,FALSE,FALSE
2020-10-10,Faroe Islands,Latvia,Latvia,Jānis Ikaunieks,25,FALSE,FALSE
2020-10-10,Faroe Islands,Latvia,Faroe Islands,Odmar Færø,28,FALSE,FALSE
2020-10-10,Liechtenstein,Gibraltar,Gibraltar,Tjay De Barr,10,FALSE,FALSE
2020-10-10,Luxembourg,Cyprus,Luxembourg,Danel Sinani,12,FALSE,FALSE
2020-10-10,Luxembourg,Cyprus,Luxembourg,Danel Sinani,26,FALSE,FALSE
2020-10-10,Montenegro,Azerbaijan,Montenegro,Stevan Jovetić,9,FALSE,FALSE
2020-10-10,Montenegro,Azerbaijan,Montenegro,Igor Ivanović,71,FALSE,FALSE
2020-10-10,Spain,Switzerland,Spain,Mikel Oyarzabal,14,FALSE,FALSE
2020-10-10,Ukraine,Germany,Germany,Matthias Ginter,20,FALSE,FALSE
2020-10-10,Ukraine,Germany,Germany,Leon Goretzka,49,FALSE,FALSE
2020-10-10,Ukraine,Germany,Ukraine,Ruslan Malinovskyi,77,FALSE,TRUE
2020-10-11,Armenia,Georgia,Armenia,Khoren Bayramyan,6,FALSE,FALSE
2020-10-11,Armenia,Georgia,Georgia,Nika Kacharava,46,FALSE,FALSE
2020-10-11,Armenia,Georgia,Georgia,Tornike Okriashvili,74,FALSE,FALSE
2020-10-11,Armenia,Georgia,Armenia,Henrikh Mkhitaryan,89,FALSE,TRUE
2020-10-11,Croatia,Sweden,Croatia,Nikola Vlašić,32,FALSE,FALSE
2020-10-11,Croatia,Sweden,Sweden,Marcus Berg,66,FALSE,FALSE
2020-10-11,Croatia,Sweden,Croatia,Andrej Kramarić,84,FALSE,FALSE
2020-10-11,England,Belgium,Belgium,Romelu Lukaku,16,FALSE,TRUE
2020-10-11,England,Belgium,England,Marcus Rashford,39,FALSE,TRUE
2020-10-11,England,Belgium,England,Mason Mount,65,FALSE,FALSE
2020-10-11,Estonia,North Macedonia,North Macedonia,Märten Kuusk,3,TRUE,FALSE
2020-10-11,Estonia,North Macedonia,Estonia,Rauno Sappinen,33,FALSE,FALSE
2020-10-11,Estonia,North Macedonia,Estonia,Rauno Sappinen,61,FALSE,FALSE
2020-10-11,Estonia,North Macedonia,Estonia,Frank Liivak,76,FALSE,TRUE
2020-10-11,Estonia,North Macedonia,North Macedonia,Goran Pandev,80,FALSE,FALSE
2020-10-11,Estonia,North Macedonia,North Macedonia,Gjoko Zajkov,88,FALSE,FALSE
2020-10-11,Finland,Bulgaria,Finland,Robert Taylor,52,FALSE,FALSE
2020-10-11,Finland,Bulgaria,Finland,Fredrik Jensen,67,FALSE,FALSE
2020-10-11,Greece,Moldova,Greece,Tasos Bakasetas,45,FALSE,TRUE
2020-10-11,Greece,Moldova,Greece,Petros Mantalos,50,FALSE,FALSE
2020-10-11,Iceland,Denmark,Denmark,Rúnar Már Sigurjónsson,45,TRUE,FALSE
2020-10-11,Iceland,Denmark,Denmark,Christian Eriksen,46,FALSE,FALSE
2020-10-11,Iceland,Denmark,Denmark,Robert Skov,61,FALSE,FALSE
2020-10-11,Israel,Czech Republic,Czech Republic,Joel Abu Hanna,14,TRUE,FALSE
2020-10-11,Israel,Czech Republic,Czech Republic,Matěj Vydra,48,FALSE,FALSE
2020-10-11,Israel,Czech Republic,Israel,Eran Zahavi,56,FALSE,FALSE
2020-10-11,Kosovo,Slovenia,Slovenia,Haris Vučkić,22,FALSE,FALSE
2020-10-11,Lithuania,Belarus,Lithuania,Arvydas Novikovas,7,FALSE,FALSE
2020-10-11,Lithuania,Belarus,Belarus,Vitaly Lisakovich,59,FALSE,TRUE
2020-10-11,Lithuania,Belarus,Belarus,Alyaksandr Sachywka,66,FALSE,FALSE
2020-10-11,Lithuania,Belarus,Lithuania,Karolis Laukžemis,75,FALSE,FALSE
2020-10-11,Northern Ireland,Austria,Austria,Michael Gregoritsch,42,FALSE,FALSE
2020-10-11,Norway,Romania,Norway,Erling Haaland,13,FALSE,FALSE
2020-10-11,Norway,Romania,Norway,Alexander Sørloth,39,FALSE,FALSE
2020-10-11,Norway,Romania,Norway,Erling Haaland,64,FALSE,FALSE
2020-10-11,Norway,Romania,Norway,Erling Haaland,74,FALSE,FALSE
2020-10-11,Russia,Turkey,Russia,Anton Miranchuk,28,FALSE,FALSE
2020-10-11,Russia,Turkey,Turkey,Kenan Karaman,62,FALSE,FALSE
2020-10-11,Scotland,Slovakia,Scotland,Lyndon Dykes,54,FALSE,FALSE
2020-10-11,Serbia,Hungary,Hungary,Norbert Könyves,20,FALSE,FALSE
2020-10-13,Bolivia,Argentina,Bolivia,Marcelo Martins Moreno,24,FALSE,FALSE
2020-10-13,Bolivia,Argentina,Argentina,Lautaro Martínez,45,FALSE,FALSE
2020-10-13,Bolivia,Argentina,Argentina,Joaquín Correa,79,FALSE,FALSE
2020-10-13,Chile,Colombia,Colombia,Jefferson Lerma,6,FALSE,FALSE
2020-10-13,Chile,Colombia,Chile,Arturo Vidal,37,FALSE,TRUE
2020-10-13,Chile,Colombia,Chile,Alexis Sánchez,41,FALSE,FALSE
2020-10-13,Chile,Colombia,Colombia,Radamel Falcao,90,FALSE,FALSE
2020-10-13,Ecuador,Uruguay,Ecuador,Moisés Caicedo,14,FALSE,FALSE
2020-10-13,Ecuador,Uruguay,Ecuador,Michael Estrada,45,FALSE,FALSE
2020-10-13,Ecuador,Uruguay,Ecuador,Michael Estrada,52,FALSE,FALSE
2020-10-13,Ecuador,Uruguay,Ecuador,Gonzalo Plata,75,FALSE,FALSE
2020-10-13,Ecuador,Uruguay,Uruguay,Luis Suárez,83,FALSE,TRUE
2020-10-13,Ecuador,Uruguay,Uruguay,Luis Suárez,90,FALSE,TRUE
2020-10-13,Faroe Islands,Andorra,Faroe Islands,Klæmint Olsen,19,FALSE,FALSE
2020-10-13,Faroe Islands,Andorra,Faroe Islands,Klæmint Olsen,33,FALSE,FALSE
2020-10-13,Germany,Switzerland,Switzerland,Mario Gavranović,5,FALSE,FALSE
2020-10-13,Germany,Switzerland,Switzerland,Remo Freuler,26,FALSE,FALSE
2020-10-13,Germany,Switzerland,Germany,Timo Werner,28,FALSE,FALSE
2020-10-13,Germany,Switzerland,Germany,Kai Havertz,55,FALSE,FALSE
2020-10-13,Germany,Switzerland,Switzerland,Mario Gavranović,57,FALSE,FALSE
2020-10-13,Germany,Switzerland,Germany,Serge Gnabry,60,FALSE,FALSE
2020-10-13,Latvia,Malta,Malta,Steve Borg,90,FALSE,FALSE
2020-10-13,Montenegro,Luxembourg,Montenegro,Igor Ivanović,34,FALSE,FALSE
2020-10-13,Montenegro,Luxembourg,Luxembourg,Edvin Muratović,42,FALSE,FALSE
2020-10-13,Montenegro,Luxembourg,Luxembourg,Danel Sinani,86,FALSE,FALSE
2020-10-13,Peru,Brazil,Peru,André Carrillo,5,FALSE,FALSE
2020-10-13,Peru,Brazil,Brazil,Neymar,28,FALSE,TRUE
2020-10-13,Peru,Brazil,Peru,Renato Tapia,59,FALSE,FALSE
2020-10-13,Peru,Brazil,Brazil,Richarlison,64,FALSE,FALSE
2020-10-13,Peru,Brazil,Brazil,Neymar,83,FALSE,TRUE
2020-10-13,Peru,Brazil,Brazil,Neymar,90,FALSE,FALSE
2020-10-13,Ukraine,Spain,Ukraine,Viktor Tsyhankov,76,FALSE,FALSE
2020-10-13,Venezuela,Paraguay,Paraguay,Gastón Giménez,85,FALSE,FALSE
2020-10-14,Belarus,Kazakhstan,Belarus,Yevgeniy Yablonskiy,36,FALSE,FALSE
2020-10-14,Belarus,Kazakhstan,Belarus,Roman Yuzepchuk,90,FALSE,FALSE
2020-10-14,Bulgaria,Wales,Wales,Jonny Williams,85,FALSE,FALSE
2020-10-14,Croatia,France,France,Antoine Griezmann,8,FALSE,FALSE
2020-10-14,Croatia,France,Croatia,Nikola Vlašić,64,FALSE,FALSE
2020-10-14,Croatia,France,France,Kylian Mbappé,79,FALSE,FALSE
2020-10-14,England,Denmark,Denmark,Christian Eriksen,35,FALSE,TRUE
2020-10-14,Estonia,Armenia,Armenia,Kamo Hovhannisyan,8,FALSE,FALSE
2020-10-14,Estonia,Armenia,Estonia,Rauno Sappinen,14,FALSE,FALSE
2020-10-14,Finland,Republic of Ireland,Finland,Fredrik Jensen,66,FALSE,FALSE
2020-10-14,Iceland,Belgium,Belgium,Romelu Lukaku,9,FALSE,FALSE
2020-10-14,Iceland,Belgium,Iceland,Birkir Már Sævarsson,17,FALSE,FALSE
2020-10-14,Iceland,Belgium,Belgium,Romelu Lukaku,38,FALSE,TRUE
2020-10-14,Italy,Netherlands,Italy,Lorenzo Pellegrini,16,FALSE,FALSE
2020-10-14,Italy,Netherlands,Netherlands,Donny van de Beek,25,FALSE,FALSE
2020-10-14,Moldova,Slovenia,Slovenia,Sandi Lovrić,8,FALSE,FALSE
2020-10-14,Moldova,Slovenia,Slovenia,Haris Vučkić,37,FALSE,TRUE
2020-10-14,Moldova,Slovenia,Slovenia,Haris Vučkić,42,FALSE,FALSE
2020-10-14,Moldova,Slovenia,Slovenia,Haris Vučkić,55,FALSE,TRUE
2020-10-14,North Macedonia,Georgia,Georgia,Khvicha Kvaratskhelia,74,FALSE,FALSE
2020-10-14,North Macedonia,Georgia,North Macedonia,Ezgjan Alioski,90,FALSE,TRUE
2020-10-14,Norway,Northern Ireland,Norway,Stuart Dallas,68,TRUE,FALSE
2020-10-14,Poland,Bosnia and Herzegovina,Poland,Robert Lewandowski,40,FALSE,FALSE
2020-10-14,Poland,Bosnia and Herzegovina,Poland,Karol Linetty,45,FALSE,FALSE
2020-10-14,Poland,Bosnia and Herzegovina,Poland,Robert Lewandowski,52,FALSE,FALSE
2020-10-14,Portugal,Sweden,Portugal,Bernardo Silva,21,FALSE,FALSE
2020-10-14,Portugal,Sweden,Portugal,Diogo Jota,44,FALSE,FALSE
2020-10-14,Portugal,Sweden,Portugal,Diogo Jota,72,FALSE,FALSE
2020-10-14,Romania,Austria,Austria,Alessandro Schöpf,76,FALSE,FALSE
2020-10-14,Scotland,Czech Republic,Scotland,Ryan Fraser,6,FALSE,FALSE
2020-10-14,Slovakia,Israel,Slovakia,Marek Hamšík,16,FALSE,FALSE
2020-10-14,Slovakia,Israel,Slovakia,Róbert Mak,38,FALSE,FALSE
2020-10-14,Slovakia,Israel,Israel,Eran Zahavi,68,FALSE,FALSE
2020-10-14,Slovakia,Israel,Israel,Eran Zahavi,76,FALSE,FALSE
2020-10-14,Slovakia,Israel,Israel,Eran Zahavi,89,FALSE,FALSE
2020-10-14,Turkey,Serbia,Serbia,Sergej Milinković-Savić,22,FALSE,FALSE
2020-10-14,Turkey,Serbia,Serbia,Aleksandar Mitrović,49,FALSE,TRUE
2020-10-14,Turkey,Serbia,Turkey,Hakan Çalhanoğlu,57,FALSE,FALSE
2020-10-14,Turkey,Serbia,Turkey,Ozan Tufan,76,FALSE,FALSE
2020-11-12,Argentina,Paraguay,Paraguay,Ángel Romero,21,FALSE,TRUE
2020-11-12,Argentina,Paraguay,Argentina,Nicolás González,41,FALSE,FALSE
2020-11-12,Bolivia,Ecuador,Bolivia,Juan Carlos Arce,37,FALSE,FALSE
2020-11-12,Bolivia,Ecuador,Ecuador,Beder Caicedo,46,FALSE,FALSE
2020-11-12,Bolivia,Ecuador,Ecuador,Ángel Mena,55,FALSE,FALSE
2020-11-12,Bolivia,Ecuador,Bolivia,Marcelo Martins Moreno,60,FALSE,FALSE
2020-11-12,Bolivia,Ecuador,Ecuador,Carlos Gruezo,88,FALSE,TRUE
2020-11-12,Georgia,North Macedonia,North Macedonia,Goran Pandev,56,FALSE,FALSE
2020-11-12,Hungary,Iceland,Iceland,Gylfi Sigurðsson,11,FALSE,FALSE
2020-11-12,Hungary,Iceland,Hungary,Loïc Négo,88,FALSE,FALSE
2020-11-12,Hungary,Iceland,Hungary,Dominik Szoboszlai,90,FALSE,FALSE
2020-11-12,Northern Ireland,Slovakia,Slovakia,Juraj Kucka,17,FALSE,FALSE
2020-11-12,Northern Ireland,Slovakia,Northern Ireland,Milan Škriniar,88,TRUE,FALSE
2020-11-12,Northern Ireland,Slovakia,Slovakia,Michal Ďuriš,110,FALSE,FALSE
2020-11-12,Serbia,Scotland,Scotland,Ryan Christie,52,FALSE,FALSE
2020-11-12,Serbia,Scotland,Serbia,Luka Jović,90,FALSE,FALSE
2020-11-13,Brazil,Venezuela,Brazil,Roberto Firmino,66,FALSE,FALSE
2020-11-13,Chile,Peru,Chile,Arturo Vidal,19,FALSE,FALSE
2020-11-13,Chile,Peru,Chile,Arturo Vidal,34,FALSE,FALSE
2020-11-13,Colombia,Uruguay,Uruguay,Edinson Cavani,5,FALSE,FALSE
2020-11-13,Colombia,Uruguay,Uruguay,Luis Suárez,54,FALSE,TRUE
2020-11-13,Colombia,Uruguay,Uruguay,Darwin Núñez,73,FALSE,FALSE
2020-11-14,Cyprus,Luxembourg,Luxembourg,Ioannis Kousoulos,5,TRUE,FALSE
2020-11-14,Cyprus,Luxembourg,Cyprus,Grigoris Kastanos,34,FALSE,TRUE
2020-11-14,Cyprus,Luxembourg,Cyprus,Grigoris Kastanos,71,FALSE,FALSE
2020-11-14,Germany,Ukraine,Ukraine,Roman Yaremchuk,12,FALSE,FALSE
2020-11-14,Germany,Ukraine,Germany,Leroy Sané,23,FALSE,FALSE
2020-11-14,Germany,Ukraine,Germany,Timo Werner,33,FALSE,FALSE
2020-11-14,Germany,Ukraine,Germany,Timo Werner,64,FALSE,FALSE
2020-11-14,Latvia,Faroe Islands,Latvia,Vladimirs Kamešs,59,FALSE,FALSE
2020-11-14,Latvia,Faroe Islands,Faroe Islands,Gunnar Vatnhamar,60,FALSE,FALSE
2020-11-14,Malta,Andorra,Andorra,Marc Rebés,3,FALSE,FALSE
2020-11-14,Malta,Andorra,Malta,Emili García,56,TRUE,FALSE
2020-11-14,Malta,Andorra,Malta,Jurgen Degabriele,59,FALSE,FALSE
